playername,team,maps_played,kills,deaths,hs_pct,adr,kd_ratio,impact,rating
botirshoT,,6.0,19.67,35.76,,0.0,0.55,0.7,0.6
ianzin,,10.0,22.1,40.0,,0.0,0.52,0.7,0.57
frog,,10.0,18.9,30.48,,0.0,0.62,0.69,0.64
BaN4na,,8.0,20.12,31.94,,0.0,0.63,0.69,0.65
mathiaski,,7.0,22.29,38.43,,0.0,0.58,0.69,0.61
nursSSS,,9.0,21.67,40.0,,0.0,0.54,0.69,0.58
Finui,,10.0,19.3,31.64,,0.0,0.61,0.69,0.63
Maiko,,7.0,21.14,38.44,,0.0,0.55,0.69,0.59
d3j4vy,,11.0,20.82,35.9,,0.0,0.58,0.68,0.61
shrr,,7.0,19.71,33.98,,0.0,0.58,0.68,0.61
Snaxieee,,8.0,19.88,31.06,,0.0,0.64,0.68,0.65
fp1,,10.0,20.4,34.0,,0.0,0.6,0.68,0.62
c0ldhurt,,5.0,23.6,33.24,,0.0,0.71,0.68,0.7
neyney,,5.0,15.8,26.78,,0.0,0.59,0.68,0.62
Zccxd,,5.0,20.6,28.22,,0.0,0.73,0.67,0.71
Puppy,,7.0,15.71,24.55,,0.0,0.64,0.67,0.65
R3ZLOO,,5.0,19.0,35.85,,0.0,0.53,0.67,0.57
Bogdan,,5.0,23.8,40.0,,0.0,0.53,0.66,0.57
Zaha,,8.0,18.5,31.9,,0.0,0.58,0.66,0.6
Ca1l,,5.0,17.6,37.45,,0.0,0.47,0.66,0.53
marie,,26.0,20.65,36.23,,0.0,0.57,0.66,0.6
REGIANE,,11.0,17.73,33.45,,0.0,0.53,0.65,0.57
Qweall,,5.0,19.2,29.54,,0.0,0.65,0.65,0.65
ScrunK,,7.0,20.57,40.0,,0.0,0.45,0.65,0.51
ronin,,5.0,17.2,34.4,,0.0,0.5,0.65,0.54
yarned,,7.0,16.29,30.74,,0.0,0.53,0.64,0.56
CLUTCHER,,7.0,18.14,31.82,,0.0,0.57,0.64,0.59
gadfly,,10.0,17.6,37.45,,0.0,0.47,0.64,0.52
segalla,,8.0,16.38,31.5,,0.0,0.52,0.64,0.56
Milo3k,,9.0,18.33,40.0,,0.0,0.45,0.64,0.51
GThug,,8.0,20.5,40.0,,0.0,0.49,0.64,0.53
Electrician,,10.0,18.9,31.5,,0.0,0.6,0.64,0.61
Dissolveeee,,7.0,16.29,28.09,,0.0,0.58,0.63,0.6
kickdown,,8.0,18.5,31.36,,0.0,0.59,0.63,0.6
shoma,,13.0,19.54,35.53,,0.0,0.55,0.63,0.57
kWAUR,,5.0,18.0,33.96,,0.0,0.53,0.63,0.56
kevin,,10.0,17.6,36.67,,0.0,0.48,0.62,0.52
Shoey,,7.0,16.86,35.87,,0.0,0.47,0.62,0.51
lmbt,,11.0,20.09,40.0,,0.0,0.45,0.59,0.49
kenny,,5.0,20.4,36.43,,0.0,0.56,0.58,0.57
R3x,,5.0,17.6,33.21,,0.0,0.53,0.58,0.54
dumz,,5.0,15.8,34.35,,0.0,0.46,0.58,0.5
flowaN,,8.0,18.0,40.0,,0.0,0.45,0.57,0.49
hAmsi,,5.0,15.8,30.98,,0.0,0.51,0.57,0.53
Notjuanjo,,11.0,17.0,36.17,,0.0,0.47,0.57,0.5
Borsty,,7.0,16.57,36.02,,0.0,0.46,0.56,0.49
Siljeeeh,,12.0,17.75,39.44,,0.0,0.45,0.54,0.48
lyo,,5.0,21.4,40.0,,0.0,0.43,0.54,0.46
fks,,8.0,17.75,40.0,,0.0,0.41,0.51,0.44
blamz,,5.0,16.4,40.0,,0.0,0.37,0.51,0.41
KiMBARREiROS,,5.0,18.0,40.0,,0.0,0.39,0.51,0.43
BENDJI,,5.0,15.8,37.62,,0.0,0.42,0.5,0.44
APMArEggOH,,7.0,16.29,38.79,,0.0,0.42,0.5,0.44
gleerup,,5.0,16.4,40.0,,0.0,0.38,0.42,0.39
waveigl,,8.0,17.75,40.0,,0.0,0.3,0.38,0.28
